Unnamed: 0,index,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores,top_1_deputy,top_2_deputy,top_3_deputy,top_4_deputy,top_5_deputy,top_6_deputy,top_7_deputy,top_8_deputy,top_9_deputy,top_10_deputy,distance,first_name,gender
158,158,73482,https://dadosabertos.camara.leg.br/api/v2/deputados/73482,Henrique Fontana,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,56,https://www.camara.gov.br/internet/deputado/bandep/73482.jpg,-0.2595929205417633,0.4874935746192932,0.1948490440845489,#FF0000,54.0,181.0,469.0,114.0,260.0,183.0,155.0,34.0,281.0,27.0,0.5856659625342429,Henrique,Feminino
159,159,204539,https://dadosabertos.camara.leg.br/api/v2/deputados/204539,Hercílio Coelho Diniz,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204539.jpg,-0.0651108771562576,0.0412417240440845,-0.1704134941101074,#006400,152.0,268.0,292.0,,,,,,,,0.1870322568462491,Hercílio,Masculino
160,160,178981,https://dadosabertos.camara.leg.br/api/v2/deputados/178981,Herculano Passos,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,SP,56,https://www.camara.gov.br/internet/deputado/bandep/178981.jpg,-0.0291521344333887,0.0979445353150367,-0.1653855592012405,#FF7F00,48.0,96.0,99.0,152.0,180.0,194.0,210.0,275.0,423.0,,0.1944102932779225,Herculano,Masculino
161,161,178884,https://dadosabertos.camara.leg.br/api/v2/deputados/178884,Hildo Rocha,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MA,56,https://www.camara.gov.br/internet/deputado/bandep/178884.jpg,-0.3347239196300506,0.0315587930381298,0.1249255165457725,#006400,194.0,217.0,351.0,138.0,184.0,99.0,121.0,201.0,150.0,37.0,0.3586675960757483,Hildo,Masculino
162,162,178959,https://dadosabertos.camara.leg.br/api/v2/deputados/178959,Hiran Gonçalves,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RR,56,https://www.camara.gov.br/internet/deputado/bandep/178959.jpg,0.0900598093867302,-0.4401775598526001,-0.217537060379982,#00BFFF,,,,,,,,,,,0.4991887680059793,Hiran,Masculino
163,163,141450,https://dadosabertos.camara.leg.br/api/v2/deputados/141450,Hugo Leal,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/141450.jpg,0.1847905069589615,-0.1447491198778152,0.1847719550132751,#BDB76B,217.0,194.0,351.0,210.0,275.0,372.0,88.0,423.0,72.0,322.0,0.2987315090963454,Hugo,Masculino
164,164,160674,https://dadosabertos.camara.leg.br/api/v2/deputados/160674,Hugo Motta,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,PB,56,https://www.camara.gov.br/internet/deputado/bandep/160674.jpg,-0.3668404817581177,-0.2277780920267105,0.1064314246177673,#FF7F00,,,,,,,,,,,0.4447273843716215,Hugo,Masculino
165,165,204533,https://dadosabertos.camara.leg.br/api/v2/deputados/204533,Idilvan Alencar,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,CE,56,https://www.camara.gov.br/internet/deputado/bandep/204533.jpg,0.3102459609508514,0.2755472064018249,-0.0352439619600772,#2E8B57,,,,,,,,,,,0.4164384181326339,Idilvan,Masculino
166,166,204508,https://dadosabertos.camara.leg.br/api/v2/deputados/204508,Igor Timo,PODE,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204508.jpg,-0.3788737654685974,0.1359333395957946,0.0515884235501289,#228B22,,,,,,,,,,,0.405813465053104,Igor,Masculino
167,167,73531,https://dadosabertos.camara.leg.br/api/v2/deputados/73531,Ivan Valente,PSOL,https://dadosabertos.camara.leg.br/api/v2/partidos/36839,SP,56,https://www.camara.gov.br/internet/deputado/bandep/73531.jpg,0.1694556027650833,0.5889586806297302,-0.0210782792419195,#800080,147.0,362.0,,,,,,,,,0.6132143366339299,Ivan,Masculino
168,168,108338,https://dadosabertos.camara.leg.br/api/v2/deputados/108338,Jaqueline Cassol,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RO,56,https://www.camara.gov.br/internet/deputado/bandep/108338.jpg,0.3317680954933166,-0.2899195551872253,-0.0571887157857418,#00BFFF,384.0,220.0,273.0,286.0,99.0,138.0,111.0,37.0,298.0,351.0,0.4442904082696849,Jaqueline,Feminino
169,169,74273,https://dadosabertos.camara.leg.br/api/v2/deputados/74273,Jefferson Campos,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,SP,56,https://www.camara.gov.br/internet/deputado/bandep/74273.jpg,-0.1850210279226303,-0.0920090451836586,0.1734256297349929,#8B0000,68.0,176.0,,,,,,,,,0.2697682231437464,Jefferson,Masculino
170,170,204435,https://dadosabertos.camara.leg.br/api/v2/deputados/204435,Jesus Sérgio,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,AC,56,https://www.camara.gov.br/internet/deputado/bandep/204435.jpg,-0.374140590429306,0.2920350730419159,0.1031410694122314,#2E8B57,,,,,,,,,,,0.4856992335724708,Jesus,Masculino
171,171,160531,https://dadosabertos.camara.leg.br/api/v2/deputados/160531,Jhonatan de Jesus,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RR,56,https://www.camara.gov.br/internet/deputado/bandep/160531.jpg,-0.3374651074409485,-0.1612439602613449,-0.0085687022656202,#FF7F00,275.0,37.0,273.0,210.0,220.0,48.0,423.0,234.0,217.0,138.0,0.3741065839027829,Jhonatan,Masculino
172,172,74366,https://dadosabertos.camara.leg.br/api/v2/deputados/74366,João Campos,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,GO,56,https://www.camara.gov.br/internet/deputado/bandep/74366.jpg,0.1476923674345016,-0.3454183936119079,0.0241732131689786,#FF7F00,48.0,192.0,210.0,275.0,423.0,,,,,,0.3764455422484793,João,Masculino
173,173,178970,https://dadosabertos.camara.leg.br/api/v2/deputados/178970,João Daniel,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SE,56,https://www.camara.gov.br/internet/deputado/bandep/178970.jpg,0.3774382472038269,0.3229347467422485,0.1186170727014541,#FF0000,155.0,54.0,260.0,114.0,204.0,267.0,469.0,34.0,354.0,181.0,0.5107019591131792,João,Masculino
174,174,141459,https://dadosabertos.camara.leg.br/api/v2/deputados/141459,João Maia,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,RN,56,https://www.camara.gov.br/internet/deputado/bandep/141459.jpg,-0.3172407150268554,-0.1736329793930053,0.1931518614292144,#8B0000,138.0,37.0,150.0,99.0,68.0,234.0,122.0,220.0,217.0,379.0,0.4099972248408673,João,Masculino
175,175,112437,https://dadosabertos.camara.leg.br/api/v2/deputados/112437,João Marcelo Souza,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,MA,56,https://www.camara.gov.br/internet/deputado/bandep/112437.jpg,-0.1176810339093208,0.111763097345829,-0.4303356409072876,#006400,,,,,,,,,,,0.4599223624758704,João,Masculino
176,176,178910,https://dadosabertos.camara.leg.br/api/v2/deputados/178910,Joaquim Passarinho,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,PA,56,https://www.camara.gov.br/internet/deputado/bandep/178910.jpg,0.0071318629197776,-0.3228227794170379,0.1837305873632431,#8B0000,220.0,234.0,332.0,99.0,37.0,217.0,138.0,150.0,122.0,227.0,0.3715135786375652,Joaquim,Masculino
177,177,204468,https://dadosabertos.camara.leg.br/api/v2/deputados/204468,Joenia Wapichana,REDE,https://dadosabertos.camara.leg.br/api/v2/partidos/36886,RR,56,https://www.camara.gov.br/internet/deputado/bandep/204468.jpg,0.3517487049102783,0.3888922035694122,-0.1143098622560501,#FFA500,,,,,,,,,,,0.5366852355078611,Joenia,Feminino
178,178,204546,https://dadosabertos.camara.leg.br/api/v2/deputados/204546,Joice Hasselmann,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204546.jpg,-0.1225857660174369,0.0427133403718471,0.3800310492515564,#0072C6,,,,,,,,,,,0.4015909584030023,Joice,Feminino
179,179,217480,https://dadosabertos.camara.leg.br/api/v2/deputados/217480,Jones Moura,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/217480.jpg,-0.1575038135051727,0.0164030864834785,-0.0541553907096385,#BDB76B,217.0,194.0,351.0,201.0,135.0,184.0,99.0,273.0,275.0,2.0,0.1673598484038818,Jones,Masculino
180,180,205550,https://dadosabertos.camara.leg.br/api/v2/deputados/205550,Jorge Braz,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/205550.jpg,0.3068814277648926,-0.1252229511737823,-0.1540180295705795,#FF7F00,275.0,423.0,48.0,210.0,192.0,152.0,99.0,217.0,138.0,194.0,0.3654839964218602,Jorge,Feminino
181,181,178857,https://dadosabertos.camara.leg.br/api/v2/deputados/178857,Jorge Solla,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,BA,56,https://www.camara.gov.br/internet/deputado/bandep/178857.jpg,0.2738705575466156,0.4863131046295166,0.069200798869133,#FF0000,469.0,54.0,34.0,267.0,158.0,260.0,15.0,183.0,114.0,40.0,0.5624004521596861,Jorge,Feminino
182,182,141464,https://dadosabertos.camara.leg.br/api/v2/deputados/141464,José Airton Félix Cirilo,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,CE,56,https://www.camara.gov.br/internet/deputado/bandep/141464.jpg,0.3540632724761963,0.4285619556903839,0.0427713021636009,#FF0000,114.0,183.0,260.0,281.0,,,,,,,0.5575442001047898,José,Masculino
183,183,141470,https://dadosabertos.camara.leg.br/api/v2/deputados/141470,José Guimarães,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,CE,56,https://www.camara.gov.br/internet/deputado/bandep/141470.jpg,0.2060562521219253,0.5141986608505249,-0.0317893214523792,#FF0000,260.0,54.0,114.0,34.0,469.0,116.0,155.0,288.0,306.0,281.0,0.5548603453279125,José,Masculino
184,184,204386,https://dadosabertos.camara.leg.br/api/v2/deputados/204386,Jose Mario Schreiner,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,GO,56,https://www.camara.gov.br/internet/deputado/bandep/204386.jpg,-0.2638173103332519,-0.2989168763160705,0.075282022356987,#006400,194.0,217.0,351.0,138.0,322.0,150.0,99.0,37.0,273.0,125.0,0.4057317526003926,Jose,Feminino
185,185,204472,https://dadosabertos.camara.leg.br/api/v2/deputados/204472,José Medeiros,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MT,56,https://www.camara.gov.br/internet/deputado/bandep/204472.jpg,0.1019155532121658,-0.3143262863159179,0.0645424947142601,#8B0000,220.0,217.0,176.0,122.0,234.0,138.0,37.0,150.0,77.0,117.0,0.3366801566466882,José,Masculino
186,186,74079,https://dadosabertos.camara.leg.br/api/v2/deputados/74079,José Priante,MDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,PA,56,https://www.camara.gov.br/internet/deputado/bandep/74079.jpg,-0.1721378415822982,0.1075184941291809,-0.1749022156000137,#006400,,,,,,,,,,,0.267922466594746,José,Masculino
187,187,204555,https://dadosabertos.camara.leg.br/api/v2/deputados/204555,José Ricardo,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AM,56,https://www.camara.gov.br/internet/deputado/bandep/204555.jpg,-0.1569466888904571,0.5130916833877563,0.2624818384647369,#FF0000,,,,,,,,,,,0.5973207297919501,José,Masculino
188,188,74554,https://dadosabertos.camara.leg.br/api/v2/deputados/74554,José Rocha,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,BA,56,https://www.camara.gov.br/internet/deputado/bandep/74554.jpg,-0.0307671725749969,-0.045930165797472,-0.3000960052013397,#8B4513,,,,,,,,,,,0.3051455576872215,José,Masculino
